Species,v,kap,kap_R,p_M,k_J,kap_G,k,g,f_tL,p_Am,w,E_m,t_0
Ostrea edulis,0.01965,0.9538,0.95,14.4,0.002,0.787,0.3322,,,,,,
Ostrea chilensis,0.02607,0.9959,0.95,26.67,0.002,0.8333,,,,,,,
Saccostrea cuccullata,0.004975,0.98,0.95,20.04,0.002514,0.8031,0.2942,,,,,,
Brachidontes pharaonis,0.01868,0.983,0.95,14.24,0.002,0.7598,,,,,,,
Geukensia demissa,0.0205,0.7827,0.95,7.703,0.002,0.8019,0.6096,,,,,,
Mytilaster minimus,0.04576,0.8678,0.95,19.28,0.002,0.8019,,,,,,,
Leiosolenus patagonicus,0.01756,0.9012,0.95,10.49,0.002222,0.7979,0.4997,,,,,,
Lithophaga lithophaga,0.0002428,0.09526,0.95,9.247,0.001992,0.7994,0.5075,,,,,,
Modiolus barbatus,0.01894,0.9698,0.95,12.76,0.002678,0.7995,0.4944,,,,,,
Modiolus modiolus,0.01546,0.9675,0.95,5.488,0.00118,0.7991,0.5067,,,,,,
Musculus discors,0.04006,0.99,0.95,21.44,0.002,0.8013,0.2192,,,,,,
Mytilus edulis,0.061,0.9965,0.95,2.646,0.0001906,0.8019,0.1691,,,,,,
Mytilus californianus,0.02132,0.9805,0.95,4.844,0.0006045,0.8019,0.293,,,,,,
Mytilus galloprovincialis,0.02379,0.4768,0.95,9.048,0.002,0.7909,,,,,,,
Mytilus trossulus,0.04452,0.5285,0.95,26.85,0.002,0.8019,,,,,,,
Perna viridis,0.01444,0.9637,0.95,8.71,0.002,0.7966,,,,,,,
Perna perna,0.004927,0.8597,0.95,17.88,0.002,0.7844,,,,,,,
Perna canaliculus,0.01359,0.8576,0.95,26.59,0.002,0.812,0.2675,,,,,,
Septifer virgatus,0.02986,0.8641,0.95,6.137,0.002,0.7988,,,,,,,
Pinctada margaritifera,0.01037,0.7787,0.95,6.725,0.0009396,0.8229,0.3197,,,,,,
Pinctada imbricata,0.0198,0.74,0.95,11.32,0.002,0.7931,,,,,,,
Pteria hirundo,0.0193,0.9107,0.95,15.97,0.002,0.7931,,,,,,,
Pteria penguin,0.003762,0.6085,0.95,5.246,0.0006683,0.7931,0.3024,,,,,,
Pteria sterna,0.0166,0.74,0.95,17.32,0.002,0.7931,,,,,,,
Atrina maura,0.02049,0.7499,0.95,26.32,0.002,0.7931,,,,,,,
Pinna nobilis,0.007535,0.5528,0.95,10.68,0.002,0.7978,,,,,,,
Astarte borealis,0.01785,0.98,0.95,14.92,0.001907,0.7986,0.3014,,,,,,
Reloncavia chilenica,0.02435,0.9018,0.95,23.98,0.002,0.8009,0.196,,,,,,
Kurtiella bidentata,0.02044,0.9342,0.95,17.26,0.00217,0.7992,0.2961,,,,,,
Lasaea rubra,0.009608,0.6831,0.95,14.53,0.001862,0.7986,0.302,,,,,,
Laternula elliptica,0.02024,0.6574,0.95,41.25,0.002,0.8038,,,,,,,
Hiatella arctica,0.0214,0.8,0.95,21.88,0.002,0.8011,,,,,,,
Panopea abbreviata,0.03239,0.8,0.95,17.08,0.002,0.799,,,,,,,
Ensis directus,0.001499,0.9718,0.95,31.02,0.002,0.8,,,,,,,
Ensis siliqua,0.001851,0.3291,0.95,3.066,0.0004969,0.7979,0.3824,,,,,,
Cerastoderma edule,0.009152,0.9689,0.95,18.33,0.002,0.8001,,,,,,,
Cerastoderma glaucum,0.0147,0.9738,0.95,24.53,0.002,0.8012,,,,,,,
Ciliatocardium ciliatum,0.01986,0.8162,0.95,10.31,0.002,0.7984,,,,,,,
Tridacna gigas,0.02311,0.831,0.475,0.4883,6.222e-5,0.7998,0.3,,,,,,
Donax hanleyanus,0.01982,0.94,0.95,11.17,0.002354,0.7992,0.4967,,,,,,
Donax trunculus,0.0246,0.9315,0.95,19.44,0.002,0.8,,,,,,,
Donax vittatus,0.02985,0.9405,0.95,28.48,0.002,0.8019,,,,,,,
Galatea paradoxa,0.01832,0.98,0.95,3.825,0.0005031,0.7959,0.3111,,,,,,
Abra segmentum,0.02093,0.93,0.95,25.2,0.002,0.8012,,,,,,,
Tagelus plebeius,0.01958,0.93,0.95,11.97,0.002,0.7987,,,,,,,
Macoma balthica,0.01374,0.9951,0.95,136.5,0.002,0.8012,,,,,,,
Macomangulus tenuis,0.02988,0.98,0.95,15.41,0.002,0.7994,,,,,,,
Thyasira cf gouldi,0.01993,0.8823,0.95,15.78,0.002,0.7995,0.2985,,,,,,
Thyasira flexuosa,0.02051,0.88,0.95,32.13,0.002,0.8018,0.1462,,,,,,
Parathyasira sp,0.02027,0.9575,0.95,23.61,0.002,0.8019,0.1989,,,,,,
Dreissena polymorpha,0.0161,0.9927,0.95,96.0,0.002,0.8015,,,,,,,
Mytilopsis sallei,0.08287,0.9992,0.95,49.45,0.002,0.8018,,,,,,,
Mya arenaria,0.06593,0.8096,0.95,8.364,0.002,0.7959,,,,,,,
Corbula gibba,0.2147,0.9957,0.95,35.56,0.002,0.8019,,,,,,,
Teredo navalis,0.002481,0.9775,0.95,33.0,0.002,0.8088,,,,,,,
Penitella penita,0.02176,0.9975,0.95,45.34,0.002,0.8031,,,,,,,
Barnea candida,0.02426,0.9628,0.95,57.91,0.01232,0.7999,0.5008,,,,,,
Barnea parva,0.02172,0.922,0.95,20.56,0.00431,0.8002,0.4931,,,,,,
Pholas dactylus,0.01943,0.8648,0.95,15.54,0.002001,0.7995,,,,,,,
Xylonora atlantica,0.005313,0.7288,0.95,29.22,0.002,0.8016,,,,,,,
Euglesa casertana,0.01887,0.9008,0.475,18.25,0.002,0.7953,,,,,,,
Pisidium amnicum,0.0207,0.998,0.475,28.94,0.002,0.7983,,,,,,,
Sphaerium corneum,0.02475,1.0,0.95,32.23,0.002,0.8016,,,,,,,
Arctica islandica,0.04105,0.4733,0.95,3.818,0.0005022,0.796,0.3112,,,,,,
Corbicula fluminea,0.01973,0.9897,0.475,18.0,0.002,0.8001,,,,,,,
Spisula subtruncata,0.01964,0.5047,0.95,20.99,0.002,0.8098,,,,,,,
Spisula solidissima,0.01701,0.5349,0.95,8.961,0.001159,0.7972,0.3056,,,,,,
Amarilladesma mactroides,0.01806,0.6,0.95,13.18,0.002018,0.7984,,,,,,,
Neolepton cobbi,0.02399,0.9659,0.95,19.4,0.002,0.8006,0.2425,,,,,,
Callista chione,0.01409,0.85,0.95,5.56,0.002,0.7982,,,,,,,
Chamelea gallina,0.01318,0.9923,0.95,12.1,0.002,0.7986,,,,,,,
Dosinia exoleta,0.01999,0.8348,0.95,12.24,0.002,0.7989,,,,,,,
Dosinia japonica,0.01932,0.5212,0.95,5.957,0.0007942,0.7983,0.3144,,,,,,
Mercenaria mercenaria,0.02288,0.9805,0.95,4.727,0.0005898,0.7828,0.3001,,,,,,
Ruditapes philippinarum,0.005821,0.9917,0.95,11.11,0.002,0.7985,,,,,,,
Ruditapes decussatus,0.03201,0.8055,1.0,5.484,0.002,0.8025,0.8557,,,,,,
Venus verrucosa,0.002537,0.9244,0.95,13.03,0.001685,0.7973,0.3055,,,,,,
Aspatharia pfeifferiana,0.01988,0.98,0.95,13.07,0.001681,0.8,0.3025,,,,,,
Anodontites trapesialis,0.01504,0.8392,0.95,13.07,0.002,0.8008,0.3597,,,,,,
Diplodon chilensis,0.002731,0.97,0.95,13.07,0.001988,0.8018,0.3571,,,,,,
Echyridella menziesii,0.02033,0.6102,0.95,4.891,0.0006229,0.7979,0.3006,,,,,,
Velesunio angasi,0.02061,0.98,0.95,13.07,0.001664,0.8001,0.2994,,,,,,
Westralunio carteri,0.017,0.7503,0.95,5.223,0.0006643,0.7982,0.3,,,,,,
Cumberlandia monodonta,0.002821,0.9861,0.95,22.31,0.002,0.8014,,,,,,,
Margaritifera laevis,0.00113,0.9572,0.95,83.37,0.01835,0.815,0.5086,,,,,,
Margaritifera margaritifera,0.001778,0.9515,0.95,15.91,0.002026,0.7989,0.3001,,,,,,
Pseudunio auricularius,0.001392,0.9712,0.95,20.87,0.002593,0.7996,0.2925,,,,,,
Amblema plicata,0.003347,0.9888,0.95,17.05,0.002,0.7975,,,,,,,
Reginaia ebenus,0.01953,0.9604,0.95,2.961,0.0003813,0.7988,0.3035,,,,,,
Actinonaias ligamentina,0.003881,0.9833,0.95,14.86,0.002,0.7997,,,,,,,
Cyprogenia stegaria,0.002034,0.9882,0.95,17.41,0.002188,0.7995,0.296,,,,,,
Dromus dromas,0.001901,0.9852,0.95,17.9,0.002249,0.8003,0.2957,,,,,,
Lemiox rimosus,0.02479,0.9941,0.95,8.582,0.002,0.7981,,,,,,,
Lampsilis radiata,0.03099,0.9888,0.95,12.48,0.002,0.8005,,,,,,,
Lampsilis teres,0.02292,0.9893,0.95,22.86,0.002,0.8006,,,,,,,
Obliquaria reflexa,0.02007,0.9963,0.95,7.389,0.002,0.796,0.6403,,,,,,
Potamilus purpuratus,0.02038,0.9977,0.95,21.07,0.002,0.8,0.2234,,,,,,
Truncilla truncata,0.01949,0.9859,0.95,12.88,0.002,0.8016,,,,,,,
Elliptio arca,0.01707,0.9985,0.95,14.29,0.002,0.7996,0.3296,,,,,,
Elliptio complanata,0.00457,0.9978,0.95,6.096,0.000816,0.8007,0.3148,,,,,,
Fusconaia cuneolus,0.002261,0.9891,0.95,8.914,0.001167,0.7978,0.3089,,,,,,
Parvaspina collina,0.0177,0.9992,0.95,9.23,0.001216,0.7963,0.3116,,,,,,
Pleurobema riddellii,0.003913,0.9941,0.95,13.48,0.001728,0.7979,0.3024,,,,,,
Pleurobema strodeanum,0.007482,0.997,0.95,2.464,0.0003201,0.8008,0.3055,,,,,,
Cyclonaias asperata,0.008703,0.9993,0.95,8.543,0.002,0.798,,,,,,,
Megalonaias nervosa,0.01714,0.9974,0.95,7.462,0.0009954,0.8004,0.3138,,,,,,
Quadrula quadrula,0.019,0.9988,0.95,12.28,0.001591,0.8019,0.3042,,,,,,
Tritogonia verrucosa,0.01833,0.998,0.95,6.114,0.002,0.799,0.7708,,,,,,
Microcondylaea bonellii,0.01656,0.9991,0.95,16.37,0.002104,0.7975,0.3034,,,,,,
Potomida littoralis,0.0003436,0.9636,0.95,13.52,0.001744,0.7992,0.3038,,,,,,
Pronodularia japanensis,0.001479,0.98,0.95,16.31,0.002,0.8002,0.2885,,,,,,
Lamellidens marginalis,0.01918,0.98,0.95,27.62,0.002,0.7982,0.1708,,,,,,
Alasmidonta heterodon,0.02079,0.9994,0.95,14.65,0.002,0.7981,,,,,,,
Anodonta anatina,0.01533,0.9998,0.95,7.452,0.002,0.8018,,,,,,,
Anodonta cygnea,0.005848,0.8129,0.95,19.32,0.002,0.7995,,,,,,,
Pseudanodonta complanata,0.0166,0.9995,0.95,7.648,0.002,0.7984,,,,,,,
Pyganodon grandis,0.01911,0.9817,0.95,7.689,0.002,0.7983,,,,,,,
Sinanodonta woodiana,0.02289,0.9834,0.95,26.02,0.002,0.7977,0.1814,,,,,,
Unio crassus,0.001614,0.9953,0.95,15.78,0.002,0.799,,,,,,,
Unio pictorum,0.01947,0.9998,0.95,6.297,0.002,0.7981,,,,,,,
Unio tigridis,0.01678,0.9991,0.95,14.56,0.001849,0.7983,0.2994,,,,,,
Unio tumidus,0.01848,0.9997,0.95,9.231,0.002,0.7972,,,,,,,
Patella vulgata,0.01553,0.6175,0.95,33.06,0.002,0.8031,,,,,,,
Patina pellucida,0.02312,0.9,0.95,83.78,0.002,0.8014,,,,,,,
Nacella concinna,0.04017,0.927,0.95,24.24,0.002,0.787,,,,,,,
Gibbula umbilicalis,0.02065,0.9834,0.95,26.58,0.002,0.8013,,,,,,,
Phorcus lineatus,0.1385,0.9991,0.95,25.28,0.002,0.8012,,,,,,,
Haliotis rubra,0.022,0.8698,0.95,22.18,0.002,0.8016,,,,,,,
Haliotis mariae,0.02096,0.9427,0.95,18.34,0.002,0.7996,0.428,,,,,,
Clithon retropictum,0.02,0.98,0.95,14.87,0.002,0.7993,0.528,,,,,,
Theodoxus fluviatilis,0.0201,0.5982,0.95,21.68,0.002,0.798,,,,,,,
Pomacea canaliculata,0.02237,0.5776,0.95,451.7,0.002,0.7996,,,,,,,
Pomacea urceus,0.0296,0.9813,0.95,216.2,0.002,0.8007,,,,,,,
Viviparus contectus,0.05141,0.9516,0.95,16.91,0.002,0.7996,,,,,,,
Viviparus georgianus,0.02418,0.8532,0.95,29.88,0.002,0.8016,,,,,,,
Viviparus viviparus,0.04365,0.9056,0.95,14.89,0.002,0.7991,,,,,,,
Elimia proxima,0.02317,0.9312,0.95,141.5,0.002,0.801,,,,,,,
Melanoides tuberculata,0.02236,0.9597,0.95,74.15,0.002,0.8015,,,,,,,
Buccinum undatum,0.0344,0.9971,0.475,41.47,0.002,0.7994,0.1893,,,,,,
Busycon carica,0.0187,0.8832,0.95,4.22,0.0003323,0.7985,0.3094,,,,,,
Buccinanops deformis,0.02001,0.8589,0.95,25.04,0.002,0.8015,0.3128,,,,,,
Tritia reticulatus,0.003895,0.9994,0.95,17.95,0.002,0.8004,,,,,,,
Conus pennaceus,0.01512,0.826,0.95,5.199,0.0004125,0.7974,0.3122,,,,,,
Urosalpinx cinerea,0.02164,0.9994,0.95,51.7,0.002,0.8024,,,,,,,
Adelomelon beckii,0.001987,0.8,0.95,66.83,0.002,0.8019,,,,,,,
Adelomelon brasiliana,0.004465,0.8,0.95,41.94,0.002,0.8026,,,,,,,
Odontocymbiola magellanica,0.007799,0.8,0.95,15.44,0.002,0.8001,,,,,,,
Zidona dufresnii,0.002645,0.8,0.95,41.84,0.002,0.8025,,,,,,,
Callianax biplicata,0.02111,0.9999,0.95,189.8,0.002,0.8005,,,,,,,
Olivancillaria deshayesiana,0.02056,0.9995,0.95,24.08,0.002,0.8013,,,,,,,
Crepidula fornicata,0.05035,0.9966,0.95,35.33,0.002,0.7949,,,,,,,
Littorina littorea,0.01276,0.8434,0.95,32.9,0.002,0.8011,,,,,,,
Laevilacunaria antarctica,0.0205,0.9577,0.95,446.5,0.002,0.8007,,,,,,,
Melarhaphe neritoides,0.02009,0.9693,0.95,20.46,0.002,0.8004,,,,,,,
Euspira nitida,0.01,0.9084,0.95,292.3,0.002,0.8034,,,,,,,
Lobatus gigas,0.01173,0.867,0.95,15.05,0.002,0.7967,,,,,,,
Angustassiminea castanea,0.02014,0.9,0.95,17.76,0.002,0.7994,,,,,,,
Assiminea japonica,0.01957,0.9,0.95,15.77,0.002,0.799,,,,,,,
Bithynia tentaculata,0.02057,0.9436,0.95,16.49,0.002,0.7987,,,,,,,
Heleobia australis,0.02001,0.9,0.95,19.04,0.001456,0.8002,0.3,,,,,,
Pyrgulopsis robusta,0.0209,0.9792,0.95,1260.0,0.002,0.8002,,,,,,,
Potamopyrgus antipodarum,0.003906,0.9873,0.95,37.8,0.002,0.802,,,,,,,
Valvata cristata,0.008303,0.6254,0.475,64.24,0.002,0.802,,,,,,,
Valvata utahensis,0.02152,0.9424,0.475,615.6,0.002,0.8006,,,,,,,
Aplysia californica,0.0116,0.8522,0.475,180.5,0.002,0.7949,,,,,,,
Clione limacina,0.003755,0.9961,0.475,291.9,0.002,0.8005,,,,,,,
Cuthona nana,0.002531,0.7196,0.475,1716.0,0.002,0.8003,,,,,,,
Bulinus globosus,0.0226,0.9708,0.475,92.32,0.002,0.8008,,,,,,,
Bulinus tropicus,0.02145,0.8016,0.475,133.9,0.002,0.8015,,,,,,,
Bulinus truncatus,0.02203,0.4372,0.475,86.84,0.002,0.8024,,,,,,,
Indoplanorbis exustus,0.02027,0.8116,0.475,215.3,0.002,0.8022,,,,,,,
Ampullaceana balthica,0.02346,0.9564,0.475,55.3,0.002,0.8016,,,,,,,
Lymnaea stagnalis,0.01394,0.6876,0.475,58.57,0.002,0.8046,,,,,,,
Radix natalensis,0.026,0.9766,0.475,377.9,0.002,0.8004,,,,,,,
Radix rubiginosa,0.02168,0.9071,0.475,249.5,0.002,0.8031,,,,,,,
Stagnicola palustris,0.01722,0.8959,0.475,1031.0,0.002,0.8018,,,,,,,
Burnupia stenochorias,0.02082,0.9509,0.475,280.2,0.002,0.8007,,,,,,,
Ancylus fluviatilis,0.02169,0.9396,0.475,148.3,0.002,0.801,,,,,,,
Ferrissia californica,0.02004,0.9989,0.475,931.6,0.002,0.8,,,,,,,
Hebetancylus excentricus,0.01996,0.9781,0.475,42.91,0.002,0.804,,,,,,,
Laevapex fuscus,0.02019,0.9923,0.475,66.72,0.002,0.8089,,,,,,,
Biomphalaria alexandrina,0.5726,0.9373,0.475,74.12,0.002,0.8023,,,,,,,
Biomphalaria glabrata,0.02103,0.541,0.475,868.8,0.002,0.7944,,,,,,,
Biomphalaria pfeifferi,0.01928,0.9307,0.475,18.26,0.002,0.8006,,,,,,,
Dilatata dilatata,0.01861,0.9975,0.475,214.4,0.002,0.8039,,,,,,,
Planorbarius corneus,0.0293,0.8209,0.475,132.4,0.002,0.8026,,,,,,,
Planorbella duryi,0.03915,0.928,0.475,157.4,0.002,0.7986,,,,,,,
Planorbella trivolvis,0.02403,0.4696,0.475,65.5,0.002,0.803,,,,,,,
Planorbis planorbis,0.0173,0.9631,0.475,765.9,0.002,0.8007,,,,,,,
Physa fontinalis,0.0322,0.9841,0.475,101.0,0.002,0.8022,,,,,,,
Physella acuta,0.02326,0.8738,0.475,246.0,0.002,0.805,,,,,,,
Physella gyrina,0.1533,0.9983,0.475,1317.0,0.002,0.8013,,,,,,,
Succinea putris,0.02202,0.9986,0.475,125.8,0.002,0.8024,,,,,,,
Achatina achatina,0.06908,0.9663,0.475,23.39,0.002,0.8009,,,,,,,
Alinda biplicata,0.02073,0.9979,0.475,57.69,0.002,0.8019,,,,,,,
Vestia elata,0.02065,0.9963,0.475,147.0,0.002,0.8009,,,,,,,
Punctum pygmaeum,0.01568,0.9893,0.475,590.1,0.002,0.8028,,,,,,,
Discus perspectivus,0.006864,0.9281,0.475,479.4,0.002,0.8038,,,,,,,
Discus rotundatus,0.003006,0.8631,0.475,849.7,0.002,0.8003,,,,,,,
Discus ruderatus,0.004389,0.9489,0.475,974.8,0.002,0.8025,,,,,,,
Megalobulimus mogianensis,0.02615,0.7245,0.475,24.09,0.002,0.8008,,,,,,,
Aegopinella epipedostoma,0.0121,0.9692,0.475,154.0,0.002,0.8011,,,,,,,
Ambigolimax valentianus,0.01777,0.5452,0.475,246.8,0.002,0.8007,,,,,,,
Arion subfuscus,0.02802,0.9814,0.475,466.0,0.002,0.8013,,,,,,,
Ariolimax columbianus,0.02522,0.9781,0.475,220.5,0.002,0.801,,,,,,,
Cornu aspersum,0.02241,0.9414,0.475,333.5,0.002,0.8005,,,,,,,
Helix pomatia,0.0307,0.9686,0.475,24.99,0.002,0.801,,,,,,,
Helix lucorum,0.02381,0.8975,0.475,338.7,0.002,0.8001,,,,,,,
Cepaea nemoralis,0.03412,0.828,0.475,24.91,0.002,0.8012,,,,,,,
Faustina faustina,0.02245,0.7697,0.475,32.09,0.002,0.802,,,,,,,
Helicodonta obvoluta,0.02269,0.9787,0.475,37.69,0.002,0.8015,,,,,,,
Cernuella virgata,0.01509,0.2925,0.475,292.7,0.002,0.8007,,,,,,,
Trochulus hispidus,0.01903,0.8108,0.475,31.99,0.002,0.8012,,,,,,,
Perforatella bidentata,0.02763,0.592,0.475,51.86,0.002,0.802,,,,,,,
Nautilus pompilius,0.02052,0.9018,0.95,22.17,0.002,0.8009,,,,,,,
Idiosepius pygmaeus,0.06282,0.3891,0.95,168.4,0.002,0.8013,0.06512,,,,,,
Xipholeptos notoides,0.05503,0.626,0.95,718.9,0.002,0.7961,0.01535,,,,,,
Alloteuthis africana,0.02136,0.7674,0.95,56.98,0.002,0.8067,0.1912,,,,,,
Alloteuthis subulata,0.02595,0.8563,0.95,127.6,0.002,0.8013,0.08592,,,,,,
Doryteuthis gahi,0.03419,0.9039,0.95,98.05,0.002,0.7992,0.1121,,,,,,
Doryteuthis opalescens,0.02708,0.9924,0.95,37.42,0.002,0.8013,0.293,,,,,,
Doryteuthis pealeii,0.009627,0.9705,0.95,16.21,0.002,0.8006,0.6771,,,,,,
Heterololigo bleekeri,0.02128,0.9949,0.95,28.55,0.002,0.8024,0.3835,,,,,,
Loligo forbesii,0.01208,0.9452,0.95,64.44,0.002,0.8019,0.17,,,,,,
Loligo reynaudii,0.02568,0.9296,0.95,226.7,0.002,0.8017,0.04835,,,,,,
Loligo vulgaris,0.009171,0.9835,0.95,23.34,0.001331,0.8034,0.3117,,,,,,
Lolliguncula brevis,0.191,0.6273,0.95,77.24,0.002,0.8026,0.1417,,,,,,
Sepioteuthis australis,0.1698,0.9854,0.95,17.37,0.002,0.7997,0.6325,,,,,,
Sepioteuthis lessoniana,0.03141,0.9467,0.95,39.15,0.002,0.8028,0.2796,,,,,,
Uroteuthis chinensis,0.08865,0.9905,0.95,40.45,0.002,0.8031,0.2705,,,,,,
Uroteuthis duvauceli,0.01952,0.9036,0.95,153.8,0.002,0.7914,0.07221,,,,,,
Uroteuthis edulis,0.01923,0.9533,0.95,164.8,0.002,0.7989,0.06675,,,,,,
Uroteuthis noctiluca,0.02004,0.9311,0.95,18.41,0.002,0.7994,0.5972,,,,,,
Cranchia scabra,0.0217,0.957,0.95,988.5,0.002,0.8041,0.01105,,,,,,
Liocranchia reinhardtii,0.0217,0.9905,0.95,1216.0,0.002,0.8018,0.00901,,,,,,
Galiteuthis phyllura,0.02489,0.9766,0.95,6849.0,0.002,0.7973,0.001609,,,,,,
Taonius borealis,0.0217,0.979,0.95,2036.0,0.002,0.8,0.005395,,,,,,
Ancistrocheirus lesueurii,0.02031,0.9956,0.95,21.92,0.002,0.8007,0.5006,,,,,,
Abralia trigonura,0.009515,0.9808,0.95,1010.0,0.002,0.7999,0.01088,,,,,,
Abraliopsis morisii,0.02061,0.615,0.95,17.84,0.002,0.7999,0.6158,,,,,,
Enoploteuthis leptura,0.02512,0.9519,0.95,401.8,0.002,0.8015,0.02728,,,,,,
Watasenia scintillans,0.0201,0.8256,0.95,5053.0,0.002,0.8025,0.002167,,,,,,
Berryteuthis magister,0.01408,0.905,0.95,171.0,0.002,0.798,0.06438,,,,,,
Gonatus fabricii,0.02268,0.5305,0.95,3046.0,0.002,0.8025,0.003595,,,,,,
Histioteuthis bonnellii,0.0199,0.9983,0.95,12.87,0.002,0.7997,,,,,,,
Histioteuthis miranda,0.02123,0.998,0.95,314.6,0.002,0.7995,,,,,,,
Lycoteuthis lorigera,0.02192,0.9444,0.95,72.21,0.002,0.7958,0.1529,,,,,,
Moroteuthopsis ingens,0.02015,0.4898,0.95,469.8,0.002,0.803,0.02329,,,,,,
Onychoteuthis banksi,0.04002,0.8851,0.95,225.0,0.002,0.7962,0.04904,,,,,,
Pterygioteuthis gemmata,0.0246,0.9345,0.95,1402.0,0.002,0.8011,0.007824,,,,,,
Illex argentinus,0.03951,0.3749,0.95,106.3,0.002,0.8009,0.1032,,,,,,
Illex coindetii,0.02531,0.7586,0.95,58.36,0.002,0.8018,0.1878,,,,,,
Illex illecebrosus,0.01508,0.5903,0.95,1399.0,0.002,0.8006,0.007845,,,,,,
Dosidicus gigas,0.02134,0.7354,0.95,345.0,0.002,0.7988,0.03188,,,,,,
Ommastrephes bartramii,0.0177,0.5608,0.95,65.14,0.002,0.8019,0.1682,,,,,,
Ornithoteuthis antillarum,0.01898,0.6393,0.95,368.8,0.002,0.8008,0.02975,,,,,,
Sthenoteuthis oualaniensis,0.02596,0.7189,0.95,262.4,0.002,0.801,0.04181,,,,,,
Sthenoteuthis pteropus,0.04922,0.9621,0.95,25.84,0.002,0.8043,0.4227,,,,,,
Martialia hyadesi,0.02235,0.9933,0.95,102.2,0.002,0.8026,0.1071,,,,,,
